year,type,country,activity,sex,age,fatal,time,species
2016,Unprovoked,USA,Surfing,M,15,N,17,Unknown Shark
2016,Unprovoked,SA,Surfing,M,18,N,8,White Shark
2016,Unprovoked,AUS,Swimming,M,12,N,12,Wobbegong Shark
2016,Provoked,FP,Fishing,M,22,N,10,Reef Shark
2016,Provoked,FP,Fishing,M,26,N,10,Reef Shark
2016,Unprovoked,NC,Walking,F,69,Y,10,Tiger Shark
2016,Unprovoked,USA,Diving,F,46,N,11,Unknown Shark
2016,Unprovoked,AUS,Surfing,M,22,N,19,Unknown Shark
2016,Unprovoked,AUS,Surfing,M,41,N,11,Unknown Shark
2016,Unprovoked,USA,Surfing,M,18,N,10,Unknown Shark
2016,Unprovoked,USA,Surfing,M,19,N,13,Unknown Shark
2016,Unprovoked,FIJI,Diving,M,45,Y,12,Unknown Shark
2016,Unprovoked,USA,Surfing,M,12,N,12,Unknown Shark
2016,Unprovoked,NC,Surfing,M,21,N,19,Unknown Shark
2016,Unprovoked,NC,Fishing,M,31,N,16,Unknown Shark
2016,Unprovoked,DR,Wading,F,18,N,15,Unknown Shark
2016,Unprovoked,AUS,Surfing,M,18,N,12,Unknown Shark
2016,Unprovoked,AUS,Walking,F,45,N,13,Unknown Shark
2016,Unprovoked,AUS,Surfing,M,40,N,12,Unknown Shark
2016,Unprovoked,USA,Surfing,M,18,N,14,Reef Shark
2016,Unprovoked,USA,Surfing,F,15,N,11,Unknown Shark
2016,Unprovoked,USA,Surfing,M,48,N,10,Tiger Shark
2016,Unprovoked,AUS,Wading,M,11,N,12,Blacktip Shark
2016,Unprovoked,AUS,Fishing,M,31,N,11,Unknown Shark
2015,Boating,SA,Fishing,M,18,N,10,White Shark
2015,Unprovoked,USA,Surfing,M,71,N,10,Unknown Shark
2015,Unprovoked,AUS,Surfing,M,43,N,7,Whaler Shark
2015,Boating,AUS,Fishing,M,18,N,10,White Shark
2015,Unprovoked,SA,Swimming,F,22,N,10,Unknown Shark
2015,Unprovoked,ECU,Diving,M,55,N,10,Galapagos shark
2015,Unprovoked,USA,Surfing,M,18,N,12,Unknown Shark
2015,Unprovoked,USA,Swimming,F,18,N,11,Unknown Shark
2015,Unprovoked,AUS,Surfing,M,20,N,18,Bull Shark
2015,Unprovoked,USA,Surfing,F,9,N,11,Unknown Shark
2015,Unprovoked,USA,Swimming,M,54,N,11,Unknown Shark
2015,Unprovoked,USA,Wading,F,28,N,14,Unknown Shark
2015,Unprovoked,MOZ,Fishing,M,19,N,4,Unknown Shark
2015,Unprovoked,USA,Surfing,M,10,N,14,Unknown Shark
2015,Unprovoked,SA,Surfing,M,42,N,15,White Shark
2015,Unprovoked,USA,Surfing,M,21,N,14,Unknown Shark
2015,Unprovoked,USA,Surfing,M,21,N,13,Spinner Shark
2015,Unprovoked,USA,Surfing,M,32,N,19,Unknown Shark
2015,Unprovoked,USA,Swimming,M,44,N,11,Tiger Shark
2015,Boating,USA,Fishing,M,18,N,11,Hammerhead Shark
2015,Unprovoked,USA,Surfing,F,9,N,16,Unknown Shark
2015,Unprovoked,USA,Surfing,M,25,N,10,Tiger Shark
2015,Unprovoked,AUS,Surfing,M,18,N,16,Unknown Shark
2015,Unprovoked,USA,Surfing,M,22,N,13,Unknown Shark
2015,Unprovoked,USA,Wading,M,13,N,10,Unknown Shark
2015,Unprovoked,USA,Surfing,M,14,N,8,Blacktip Shark
2015,Unprovoked,USA,Surfing,M,22,N,16,Blacktip Shark
2015,Unprovoked,AUS,Diving,F,7,N,12,Unknown Shark
2015,Unprovoked,USA,Surfing,M,14,N,16,Unknown Shark
2015,Unprovoked,USA,Fishing,M,27,N,15,Tiger Shark
2015,Unprovoked,USA,Wading,M,12,N,12,Unknown Shark
2015,Unprovoked,USA,Fishing,M,16,N,7,Unknown Shark
2015,Unprovoked,USA,Swimming,M,18,N,19,Unknown Shark
2015,Unprovoked,USA,Surfing,M,20,N,15,Unknown Shark
2015,Unprovoked,AUS,Surfing,M,42,N,6,Unknown Shark
2015,Unprovoked,USA,Surfing,F,50,N,17,White Shark
2015,Provoked,USA,Fishing,M,29,N,14,Hammerhead Shark
2015,Unprovoked,AUS,Surfing,M,62,N,11,White Shark
2015,Unprovoked,USA,Surfing,M,18,N,16,Unknown Shark
2015,Unprovoked,THAI,Wading,F,37,N,8,Unknown Shark
2015,Unprovoked,USA,Surfing,F,54,N,10,White Shark
2015,Unprovoked,USA,Surfing,M,21,N,10,White Shark
2015,Unprovoked,USA,Surfing,M,18,N,19,Unknown Shark
2015,Unprovoked,AUS,Surfing,M,38,N,17,Unknown Shark
2015,Unprovoked,USA,Surfing,M,15,N,12,Unknown Shark
2015,Unprovoked,USA,Walking,F,10,N,15,Unknown Shark
